ID,Type,Subject,Station,Reference,Recorded_Status,Evidence_Date,Owner_Per_Source,Next_Action,Needs_Review,Due_Date,Closed,Sources,Notes,PR_Stage,Related_Daily_IDs
GEN-011,general,KSB — التوريد والإقفال التعاقدي والضمان,PS-03,JOB/20240445 / LPO 4500011552,تحتاج تحديثاً,2026-08-18,المشاريع / KSB / م. عبدالله,تأكيد التوريد والفحص والاستلام وإغلاق الملاحظات قبل إجراءات الضمان البنكي.,True,,False,C04,مسار تعاقدي مرتبط بالمضخات، وليس إغلاقاً تلقائياً لعطل PS-3. يلزم مراجعة آخر مستندات المشاريع.,,
GEN-012,general,الموظف وسيم أكرم — استكمال بيانات المتابعة,TEAM,Employee 20357,بحاجة استكمال البيانات,2026-09-18,مسؤول المتابعة الإدارية,تحديد موضوع الكتاب ورقمه واتجاهه والإجراء المطلوب والمسؤول عنه.,True,,False,C05,المؤكد فقط تبعية المتابعة للمحطات الخارجية. لم يُخترع عنوان إداري أو اتجاه وارد/صادر.,,
PR-10013390,pr,صمامات عدم الرجوع NRV,MULTI,PR 10013390 / RFQ 954,قيد التقييم الفني,2026-09-09,برافين / م. عبدالله / CPD,متابعة رد Powerline بالبيانات والرسومات والأبعاد والمواد ثم إكمال التقييم.,False,,False,S04;C01,عرض PLS-QTN-26-TRD-302؛ اختلاف FTF غير محسوم، ولا يصنف العرض غير مطابق دون تحقق.,evaluation,
PR-10013467,pr,قطع غيار KSB — التقييم والاعتماد,MULTI,PR 10013467,التقييم / توثيق الاعتماد,2026-09-09,محمد أسامة / م. عبدالله / أحمد الدسوقي,تأكيد إرسال التقييم والرد في تراسل ومعالجة أي اختلاف بالرقم التسلسلي قبل تغيير المرحلة.,True,,False,S01;S03;C06,السجل السابق: بانتظار تقييم في 27/8. استرجاع 9/9 يتضمن إفادة بإرساله، لكن نموذج الإرسال والاعتماد لم يُراجع؛ لا تحول إلى انتظار LPO تلقائياً.,evaluation,
PR-10013556,pr,الختم الميكانيكي Cornell لمحطة PS-2,PS-02,PR 10013556 / A15010H-40,بانتظار LPO — آخر حالة سابقة,2026-08-27,م. عبدالله / CPD,تأكيد الاعتماد في تراسل ورقم LPO وموعد التوريد.,True,,False,S05;C02,البند 15320003، الموديل 81022MP-CAC-RP-F12DB، S/N 241917. التقييم مذكور كمرسل؛ لا دليل إصدار LPO أو الاستلام. مستقل عن طلب Cornell لورشة الديزل 10013832.,lpo,
PR-OIL,pr,طلب زيوت المحطات الخارجية,MULTI,Tender 1964 / رقم PR غير متوفر,بانتظار أكواد الأصناف,2026-08-25,برافين / محمد ريحان / المستودع,استكمال أكواد الزيوت وتأكيد المواصفات والكميات ثم توثيق رفع الطلب.,True,,False,S01,طلب مستقل عن الشحوم؛ لم يثبت رقم PR أو الرفع النهائي.,preparation,
PR-GREASE,pr,طلب شحوم المحطات الخارجية,MULTI,Tender 1964 / رقم PR غير متوفر,بانتظار أكواد الأصناف,2026-08-25,برافين / محمد ريحان / المستودع,استكمال أكواد الشحوم وتأكيد المواصفات والكميات ثم توثيق رفع الطلب.,True,,False,S01,فصل مقصود وفق السجل السابق إلى طلبي زيوت وشحوم، لا إنشاء رقم طلب جديد.,preparation,
PR-10011672,pr,مواد KSB — متابعة تاريخية للتوريد,MULTI,PR 10011672 / JOB/20250694,تحتاج تحديثاً,2026-07-20,برافين / CPD / المورد,مراجعة حالة التوريد وLPO والاستلام وتأكيد استمرارية المتابعة.,True,,False,C07,وردت في محادثات التسليم السابقة. تاريخ المصدر الفعلي 20/7/2026؛ لا تخلط مع JOB/20240445 أو تعتبرها متأخرة دون تحديث.,review,
WRK-001,work,PS-2 — إصلاح جسم المضخة 2 والمحاذاة,PS-02,5230033586,قيد التنفيذ,2026-09-17,Mustafa Painter / Jakir khan mech/helper / Syed Nooruddin Mechanical Helper (Team Leader),إكمال المحاذاة وتسجيل اختبار التسريب والاهتزاز والتشغيل، مع تأكيد نتائج المضختين 1 و3.,False,,False,D06;D07;D08,17/9: اللحام والطلاء الكيميائي وإصلاح الجسم مكتملة حسب الجدول؛ محاذاة المضخة 2 قيد التنفيذ. لا يغلق الأمر بإكمال جسم المضخة فقط.,,DAY-076;DAY-092;DAY-093;DAY-105;DAY-108;DAY-109;DAY-115
WRK-002,work,مويلح — فحص الضاغط,PS-009,5230033660,قيد التنفيذ,2026-09-17,Shabeer Nasir Mechanic (Team Leader) / Shareef Technical Labour / Jakir khan mech/helper,توثيق نتيجة فحص الزيت والمرشح والسيور وما تبقى حتى إنجاز الفحص نهائياً.,False,,False,D08,الحالة اليومية لبعض الفريق مكتملة لكن الحالة النهائية In progress.,,DAY-107
WRK-003,work,المجاز 2 — تصنيع أربعة أغطية مناهل,MAJAZ-02,5230033559,قيد التنفيذ,2026-09-17,Leon - -Welder (Team Leader) / Mohinuddin- welder,تأكيد الأبعاد والوحدة ثم استكمال التصنيع والفحص والتركيب.,True,,False,D07;D08,الوصف الأصلي يذكر 120 × 140 mm؛ تحفظ القيمة كما وردت ولا تصحح إلى cm دون تأكيد.,,DAY-096;DAY-112
WRK-004,work,Vacuum-04 — تصنيع فلتر احتياطي DN400,VACUUM-04,5230033611,قيد التنفيذ,2026-09-17,Raj mohammed (Mechanic-Cuurently working as a welder) (Team Leader) / Praveen Tiwari Technical labour,استكمال التصنيع وفحص المقاسات والتثبيت وتوثيق الاختبار.,True,,False,D05;D06;D07;D08,14/9 مسجل Completed ثم 15–17/9 In progress؛ 17/9 يذكر اليوم الخامس. آخر حالة قيد التنفيذ محفوظة مع إظهار التعارض.,,DAY-065;DAY-081;DAY-097;DAY-113;DAY-114
WRK-005,work,PS-4 — فحص السكرين,PS-04,5410002160,قيد التنفيذ,2026-09-17,Mustafa Plumber (Team Leader) / Ameer fareed,توثيق نتائج الفحص والإصلاحات المتبقية وحالة التشغيل.,False,,False,D08,مستقل عن PM رقم 5410002157 وعن مشروع ربط SCADA.,,DAY-117
WRK-006,work,الدراري — تجميع تروس وSpacer للـWashpactor,DARARI-PS,5230031872,قيد التنفيذ,2026-09-17,Mamoon Mechanic (Team Leader) / Altaf Khan Technical Labour,إنهاء التجميع وتسجيل اختبار الحركة والأداء.,False,,False,D07;D08,سجل 17/9 يبين إنجاز عمل اليوم مع استمرار الحالة النهائية.,,DAY-102;DAY-103;DAY-118
WRK-007,work,PS-01B — تثبيت صفيحة دعم Screen 1,PS-01B,5230032387,قيد التنفيذ حسب آخر سجل,2026-09-16,Leon - -Welder (Team Leader) / Khalil Mechanic / Praveen Tiwari Technical labour,تأكيد تاريخ العمل وإكمال التركيب والاختبار وتحديد الارتباط بالمشروع.,True,,False,D07,تاريخ 16/9 مأخوذ مؤقتاً من اسم الملف؛ عنوانه الداخلي 15/9. لا يساوي إغلاق مشروع PS-1.,,DAY-094
WRK-008,work,PS-01B — فحص NRV DN400 للمضخات,PS-01B,5410002149,قيد التنفيذ حسب آخر سجل,2026-09-15,Khalil Mechanic (Team Leader) / Kamal (Driver),تأكيد نتائج فحص الصمامات ومضخات السحب المعنية والإغلاق الفني.,True,,False,D05;D06,رقم الأمر ذاته ورد في PS-2؛ يلزم التحقق ولا تدمج المحطتين تلقائياً.,,DAY-060;DAY-061;DAY-077
WRK-009,work,PS-2 — فحص وصيانة السكرينات,PS-02,5410002149,قيد التنفيذ حسب آخر سجل,2026-09-10,Khalil Mechanic (Team Leader) / Kamal (Driver),تأكيد إكمال فحص Screen 1 و2 والأجزاء المستبدلة واختبار التشغيل.,True,,False,D01;D02;D03;D04,آخر ظهور للمهمة 10/9؛ عدم ذكرها لاحقاً لا يعني الإغلاق. رقم الأمر مستخدم أيضاً لـPS-01B.,,DAY-009;DAY-023;DAY-035;DAY-048
WRK-010,work,السمنان — فحص Gate Valve DN300,SAMNAN,5230033624,قيد التنفيذ حسب آخر سجل,2026-09-15,Shahidullah Mechanic (Team Leader) / Issamudin-Mech/ Helper,تحديث نتيجة الفحص والإجراء المتبقي.,True,,False,D06,تركيب Butterfly DN150 مسجل بإنجاز منفصل ولا يغلق فحص DN300.,,DAY-078
WRK-011,work,السمنان — فحص صمام عزل DN150,SAMNAN,5230033612,قيد التنفيذ حسب آخر سجل,2026-09-14,Mustafa Plumber (Team Leader) / Ameer fareed,تأكيد صلة الفحص بالاستبدال اللاحق وإغلاق الأمر بالأدلة.,True,,False,D05,لا يفترض إغلاقه من وجود تركيب لاحق بأمر آخر دون مطابقة الصمام.,,DAY-072
WRK-012,work,الشموس — جاهزية المضخة 1 ودهان القاعدة,SHEMOUS,5230033591,بانتظار تأكيد التشغيل,2026-09-15,Mustafa Painter (Team Leader) / Mustafa Plumber / Ameer fareed,تأكيد وضع المضخة بعد تغيير المحرك والفك والدهان وتوثيق تشغيلها.,True,,False,D03;D04;D06,9/9 تغيير محرك منجز، 10/9 وصف currently not working رغم Final Completed؛ 15/9 دهان القاعدة In progress. اكتمال نشاط الفك لا يعني جاهزية المضخة.,,DAY-038;DAY-050;DAY-086
WRK-013,work,القرائن — فحص المضخة 5,QARAIN,5230033473,قيد التنفيذ حسب آخر سجل,2026-09-08,Shabeer Nasir Mechanic (Team Leader) / Jakir khan mech/helper,تأكيد نتيجة الفحص والحالة التشغيلية وما تبقى.,True,,False,D01;D02,,,DAY-012;DAY-028
WRK-014,work,القرائن — فك محرك المضخة 4,QARAIN,ELE-JAVED,بانتظار تحديث,2026-09-07,Shabeer Nasir Mechanic (Team Leader) / Jakir khan mech/helper,تأكيد رقم أمر العمل وخطة إعادة المحرك والتركيب والاختبار.,True,,False,D01,ELE-JAVED مرجع تنسيق غير رقمي، لم يصنف كرقم SAP.,,DAY-011
WRK-015,work,Vacuum-04 — تسريب خط الطرد,VACUUM-04,5230033604,قيد التنفيذ حسب آخر سجل,2026-09-10,Mamoon Mechanic (Team Leader) / Issamudin-Mech/ Helper,تأكيد إصلاح التسريب ونتيجة الاختبار.,True,,False,D04,الرقم نفسه وارد في Vacuum-03، ولا يغلق عطل Vacuum-04 بإتمام خراطيم Vacuum-03.,,DAY-053
WRK-016,work,المنصورة — استكمال أغطية المناهل,GL062,5230033584,بانتظار تأكيد اكتمال الكمية,2026-09-16,Mustafa Painter (Team Leader) / Issamudin-Mech/ Helper,تأكيد إنجاز الأغطية الثلاثة وتركيبها مع إثبات العدد.,True,,False,D01;D02;D03;D04;D05;D07,14/9 ذكر إنجاز اثنين من ثلاثة؛ 16/9 دهان غطاء واحد مكتمل. لا يستنتج الاستلام والتركيب النهائيان، وتاريخ 16/9 يحتاج تأكيداً.,,DAY-015;DAY-025;DAY-040;DAY-051;DAY-068;DAY-100
WRK-017,work,المجاز 3 — تصنيع أغطية مناهل,FL009,رقم أمر العمل غير مكتمل,بانتظار تحديث,2026-09-14,فريق تصنيع الأغطية,تأكيد رقم الأمر وإكمال الكمية والتركيب.,True,,False,D05,المقصود نشاط 3nos Manhole cover making work؛ سجل PM للمجاز 3 منفصل.,,DAY-069
WRK-018,work,ورشة المحطات — إصلاح صمامات NRV DN200,STATIONS-WORKSHOP,رقم أمر العمل غير مكتمل,بانتظار مطابقة الكمية والاختبار,2026-09-17,Mustafa Painter,مطابقة الصمامات الستة ومراحل الإصلاح والدهان والاختبار وأرقام الأوامر.,True,,False,D01;D02;D03;D04;D06;D08,15/9: أربعة من ستة مكتملة؛ 17/9: دهان صمامين مكتمل بأمر 5230033491. لا يفترض اكتمال الستة واختبارها من الدهان فقط.,,DAY-001;DAY-024;DAY-041;DAY-052;DAY-082;DAY-083;DAY-104
WRK-019,work,البدية — تركيب صمام DN450 والمشغل,BIDIYA-EPS,5230033425 / 5230033416,أنشطة تركيب منجزة؛ الاختبار غير موثق,2026-09-17,Shahidullah Mechanic (Team Leader) / Issamudin-Mech/ Helper,توثيق اختبار الفتح والإغلاق والتسريب وأوضاع التحكم بعد التثبيت.,False,,False,D02;D04;D05;D07;D08,14/9 تركيب المشغل مكتمل، و17/9 تثبيت دعمه مكتمل حسب الجدول. لا يثبت اختبار النظام ولا يغلق أختام New Bidiya.,,DAY-027;DAY-043;DAY-063;DAY-095;DAY-111
WRK-020,work,القاسمية — أعمال NRV وصمام DN150,QASSIMIYA,5230033602,بانتظار مطابقة نطاق الإنجاز,2026-09-14,Shabeer Nasir Mechanic (Team Leader) / Issamudin-Mech/ Helper,تأكيد إنجاز NRV للمضختين 1 و2، وعدم الاكتفاء بإتمام صمام GV DN150.,True,,False,D04;D05,10/9 وصف إصلاح NRV، و14/9 إنجاز Gate Valve بأمر العمل ذاته؛ نطاقا العمل مختلفان.,,DAY-047;DAY-070
WRK-021,work,المطار GL084 — استبدال صمام وتركيب NRV,GL084,5230033601,بانتظار مطابقة الأصل,2026-09-14,Shahidullah Mechanic (Team Leader) / Shareef Technical Labour / Raj mohammed (Mechanic-Cuurently working as a welder) (Team Leader),تأكيد هل المنفذ Gate Valve أم NRV أو كلاهما، ثم تسجيل الاختبار والإغلاق.,True,,False,D04;D05,10/9 الوصف DN300 Gate Valve و14/9 DN300 NRV؛ لا تصحح النوع تلقائياً.,,DAY-045;DAY-062;DAY-064
WRK-022,work,الخشيشة — محاذاة المضخات,KASHISHA,5230033586,بانتظار تأكيد نتائج جميع المضخات,2026-09-14,Syed Nooruddin Mechanical Helper (Team Leader) / Abdul Qader Technical Labour,تأكيد نتائج محاذاة المضخات 1 و2 و3 والاختبار النهائي.,True,,False,D01;D02;D03;D04;D05,14/9 محاذاة المضخة 3 مكتملة؛ لا يغلق ذلك تلقائياً أعمال 1 و2. رقم الأمر نفسه ورد في PS-2 ومويلح.,,DAY-010;DAY-022;DAY-037;DAY-049;DAY-058
WRK-023,work,مويلح — فك مضخة محطة معالجة الروائح OCU,PS-009,5230033586,قيد التنفيذ حسب آخر سجل,2026-09-09,Shabeer Nasir Mechanic (Team Leader) / Jakir khan mech/helper / Leon - -Welder (Team Leader),تأكيد الإصلاح وإعادة التركيب والتشغيل ورقم أمر SAP الصحيح.,True,,False,D03,الرقم ذاته استُخدم للخشيشة وPS-2؛ أبقيت المهمة مستقلة.,,DAY-034;DAY-039
WRK-024,work,الجازات FL014 — الصيانة الوقائية,FL014,5410002156,قيد التنفيذ حسب آخر سجل,2026-09-16,Raqeeb Mechanic (Team Leader) / Kamal (Driver) / Mustafa Painter (Team Leader),تأكيد الإنجاز الميداني؛ تحديث PM في اليوم التالي لا يكفي وحده لإغلاق الفحص.,True,,False,D07,رقم الأمر مستخدم أيضاً في المجاز 3، وتاريخ ملف 16/9 متعارض مع عنوانه.,,DAY-098;DAY-099
WRK-025,work,الصناعية 3 — دهان خط تعبئة الصهاريج,IND-03,5230031586,قيد التنفيذ حسب آخر سجل,2026-09-10,Mustafa Painter (Team Leader) / Praveen Tiwari Technical labour,تحديث إنجاز طبقة الدهان والفحص النهائي.,True,,False,D04,,,DAY-046
SUP-001,general,دعم الأقسام — أعمال قطع الحديد في الحومة,HOUMA-STP,سجل الفريق 17-09-2026,قيد التنفيذ حسب آخر سجل,2026-09-17,فريق اللحام,تأكيد نطاق التكليف والجهة المستفيدة وما تبقى من العمل.,True,,False,D08,مساندة للأعمال المدنية؛ تظهر في سجل الفريق كتعاون مع جهة أخرى، وليست عطلاً لمحطة خارجية.,,DAY-116
